YearMonth,total_sales,avg_sales
2013-01,180132207,6239.641380027018
2013-02,171534275,6428.597796349736
2013-03,201180369,7212.834110139108
2013-04,183431432,6579.319655667145
2013-05,185411063,7076.217960461034
2013-06,180702351,6467.051427957913
2013-07,208843882,6923.154611151627
2013-08,198042727,6595.927626977519
2013-09,178053963,6363.388120510346
2013-10,187662330,6473.347016212487
2013-11,196170924,6904.50950302689
2013-12,231710561,8613.455299059515
2014-01,187752787,6539.4025634774125
2014-02,178924677,6678.038181614601
2014-03,193019854,6654.021442360728
2014-04,194544977,7226.7822065378905
2014-05,194693257,6948.119517504729
2014-06,190047051,7250.660066384343
2014-07,173892707,6891.479689295764
2014-08,163748475,6714.305191077579
2014-09,164516168,6756.588278779416
2014-10,164216398,6757.320302855732
2014-11,173327953,7539.6038540171385
2014-12,202120592,8603.805210284352
2015-01,198843730,6913.177693564649
2015-02,178275458,6660.270407591437
2015-03,205631683,7071.240818431912
2015-04,197918886,7349.110170435558
2015-05,189143897,7308.496792890262
2015-06,207363373,7295.618794638145
2015-07,212322616,7033.344905260368
