YearMonth,StoreType,AvgSales
2013-01,a,6336.730875280538
2013-01,b,8609.876826722339
2013-01,c,6266.337034099921
2013-01,d,5934.443519751442
2013-02,a,6499.598792840294
2013-02,b,9383.277777777777
2013-02,c,6484.11259977195
2013-02,d,6129.092928322728
2013-03,a,7214.764569382749
2013-03,b,10393.433839479392
2013-03,c,7379.284739284739
2013-03,d,6970.452734599885
2013-04,a,6660.195640616693
2013-04,b,9749.218884120171
2013-04,c,6573.109056295893
2013-04,d,6271.878236851191
2013-05,a,7069.573278607318
2013-05,b,10303.838709677419
2013-05,c,7057.889589905363
2013-05,d,6897.794015825915
2013-06,a,6481.202334372306
2013-06,b,9878.316666666668
2013-06,c,6434.083040302949
2013-06,d,6268.006447156344
2013-07,a,6984.3663201918935
2013-07,b,9386.948374760994
2013-07,c,6750.872872872873
2013-07,d,6753.217724755006
2013-08,a,6597.8936275418755
2013-08,b,9078.432637571157
2013-08,c,6537.365394274234
2013-08,d,6477.378494163007
2013-09,a,6370.8458579292965
2013-09,b,9317.209803921569
2013-09,c,6334.185376460995
2013-09,d,6189.956970740103
2013-10,a,6495.213581669227
2013-10,b,9690.223908918406
2013-10,c,6429.909019402203
2013-10,d,6266.004653739612
2013-11,a,6885.464439796052
2013-11,b,10105.170588235294
2013-11,c,6952.596240402436
2013-11,d,6732.014954118047
2013-12,a,8550.522256013272
2013-12,b,11188.19165085389
2013-12,c,8899.43581081081
2013-12,d,8438.428537227675
2014-01,a,6514.250290810392
2014-01,b,9408.42504743833
2014-01,c,6472.713379164463
2014-01,d,6441.894713261649
2014-02,a,6663.701615699328
2014-02,b,9958.539915966387
2014-02,c,6604.667513406717
2014-02,d,6546.969232611038
2014-03,a,6633.683297041117
2014-03,b,9831.172675521822
2014-03,c,6518.454402926574
2014-03,d,6561.324115044248
2014-04,a,7197.027722226054
2014-04,b,10408.949019607842
2014-04,c,7131.693975225226
2014-04,d,7124.630489410076
2014-05,a,6867.361834692119
2014-05,b,10541.174573055028
2014-05,c,6917.5482384823845
2014-05,d,6883.608695652174
2014-06,a,7197.6573169004105
2014-06,b,10690.83725490196
2014-06,c,7035.93275862069
2014-06,d,7218.703196347032
2014-07,a,6881.978131497814
2014-07,b,10346.173387096775
2014-07,c,6785.650753768844
2014-07,d,6724.730160932298
2014-08,a,6673.728322843392
2014-08,b,10007.586693548386
2014-08,c,6711.177848467322
2014-08,d,6559.208832443354
2014-09,a,6751.01069439287
2014-09,b,10155.179166666667
2014-09,c,6618.0910931174085
2014-09,d,6601.492081773683
2014-10,a,6714.728273809524
2014-10,b,10462.764112903225
2014-10,c,6727.512032473181
2014-10,d,6589.233771866416
2014-11,a,7480.522671713587
2014-11,b,11160.8
2014-11,c,7559.316125113878
2014-11,d,7378.337107880643
2014-12,a,8448.131169031461
2014-12,b,11900.953629032258
2014-12,c,8987.902089552239
2014-12,d,8468.53578915843
2015-01,a,6772.072460962705
2015-01,b,9967.785578747627
2015-01,c,6929.47716535433
2015-01,d,6970.857974910395
2015-02,a,6577.110841199334
2015-02,b,10421.132352941177
2015-02,c,6639.863160870795
2015-02,d,6597.985861490534
2015-03,a,6986.959979574903
2015-03,b,10599.092979127136
2015-03,c,7003.623759791123
2015-03,d,7040.346731448763
2015-04,a,7252.639302453818
2015-04,b,10975.201960784314
2015-04,c,7285.307237397916
2015-04,d,7322.424778761062
2015-05,a,7168.6183879997125
2015-05,b,11140.709677419354
2015-05,c,7247.074270557029
2015-05,d,7325.658402890245
2015-06,a,7224.90782778865
2015-06,b,11080.150980392156
2015-06,c,7057.3276044420945
2015-06,d,7301.8800136348145
2015-07,a,6919.457833548625
2015-07,b,10874.925996204933
2015-07,c,6965.0503003003005
2015-07,d,7043.958652210885
