DayOfWeek,StoreType,AvgSales,DayName
1,a,8336.866386070265,Mon
1,b,11055.024830699775,Mon
1,c,7988.505038465706,Mon
1,d,7953.577310566645,Mon
2,a,7294.827873154869,Tue
2,b,10171.52737881508,Tue
2,c,6874.859535749367,Tue
2,d,6661.466135188238,Tue
3,a,6838.063616172899,Wed
3,b,10013.84290843806,Wed
3,c,6563.04303784181,Wed
3,d,6438.62695249874,Wed
4,a,6836.994358173801,Thu
4,b,10207.536771300449,Thu
4,c,6599.723199029929,Thu
4,d,6531.646842041459,Thu
5,a,6998.903979768402,Fri
5,b,10708.558942178395,Fri
5,c,6985.372427872992,Fri
5,d,7050.549688276379,Fri
6,a,5361.151112476637,Sat
6,b,8011.245598194131,Sat
6,c,6608.11741016109,Sat
6,d,6352.558553684543,Sat
7,a,2912.109090909091,Sun
7,b,11449.909296028882,Sun
7,d,3520.2671480144404,Sun
