Store,TotalSales,AvgDailySales,MedianDailySales,StdDailySales,AvgCustomers,AvgBasketSize,DaysOpen,StoreType,Assortment,StabilityCV,Growth_2013_2014_Pct,Growth_2014_2015_Pct,RankWithinType,RankOverall
1,3716854,4759.096030729834,4647.0,1012.106393133986,564.0499359795134,8.39303807039101,781,c,a,0.2126677811497689,-3.8716686561959306,-2.09149179900424,122,900
2,3883858,4953.900510204082,4783.0,1610.1491019698924,583.9987244897959,8.408442847104013,784,a,a,0.3250265318516783,1.8995218268954228,2.456832964722937,440,854
3,5408261,6942.568677792041,6619.0,2193.3838042966454,750.0770218228498,9.117599139435791,779,a,a,0.3159326045002426,-2.5991124225601605,1.902127113521472,244,449
4,7556507,9638.401785714286,9430.5,1936.031880865101,1321.7525510204082,7.249827317589976,784,c,c,0.2008664842893997,4.182822600745197,3.977792947513714,12,101
5,3642818,4676.274711168165,4616.0,1765.7456282447836,537.3401797175867,8.611229055339265,779,a,a,0.3775966420509304,-0.969069754997085,3.0671677792679817,479,923
6,4297758,5509.946153846154,5462.5,1577.3801331284312,635.2346153846154,8.634089481276359,780,a,a,0.2862786838719575,-18.51115461853182,-6.569499445986161,384,738
7,6930202,8817.050890585242,8494.0,2448.618883814134,948.56106870229,9.232635096580518,786,a,c,0.277714046816804,4.722848460804818,3.5581537662358107,99,163
8,4342857,5539.3584183673465,5356.0,1894.0945579586112,658.1977040816327,8.290322912051543,784,a,a,0.3419339235529862,9.559783253569591,20.88060839977323,376,721
9,5112061,6562.337612323492,6215.0,1628.6539398516463,579.8164313222079,11.206412561171438,779,a,c,0.2481819796642552,18.209346990300425,15.156312315698251,274,527
10,4365642,5568.4209183673465,5395.5,1051.1327740493298,593.9553571428571,9.331909140175084,784,a,a,0.1887667598155493,5.280702455090372,4.496747834013608,371,715
11,6296286,8030.977040816327,7571.5,2242.5260261055687,1130.091836734694,7.045099680682088,784,a,c,0.2792345208694087,-1.7244919317060527,-1.4484861848162591,144,248
12,5950245,7589.598214285715,7171.5,2055.967799328141,896.952806122449,8.347888670144664,784,a,c,0.2708928379710856,2.14011835094208,6.714727690712387,170,303
13,3126578,5034.747181964573,4719.0,1617.506666141505,382.8341384863124,12.935484073556932,621,d,a,0.3212686968544762,-50.15481276329477,22.78194572341693,328,1026
